1,1,1,1,14,14,13,13,13,13,12,12,11,11,11
1,1,1,1,14,14,13,13,13,13,12,12,11,11,11
2,2,1,1,14,14,14,14,13,13,12,12,12,12,11
2,2,1,1,14,14,14,14,13,13,12,12,12,12,11
2,2,2,2,15,15,19,19,19,19,19,19,19,10,10
2,2,2,2,15,15,19,19,19,19,19,19,19,10,10
3,3,15,15,15,15,15,15,19,19,18,18,18,9,9
3,3,15,15,15,15,15,15,19,19,18,18,18,9,9
3,3,3,3,16,16,17,17,17,17,17,18,18,8,8
3,3,3,3,16,16,16,16,16,17,17,18,18,8,8
4,4,5,5,16,16,16,16,16,17,17,18,18,8,8
4,4,5,5,5,5,5,6,6,7,7,8,8,8,8
4,4,5,5,5,5,5,6,6,7,7,8,8,8,8
4,4,4,4,6,6,6,6,6,7,7,7,7,7,7
4,4,4,4,6,6,6,6,6,7,7,7,7,7,7
