1,1,1,1,1,18,23,24,24,24,28,36,36,36,36
2,2,2,18,18,18,23,24,28,28,28,28,28,36,45
3,3,15,15,15,21,23,24,24,24,28,34,34,34,40
4,3,15,12,15,21,23,23,23,23,34,34,34,40,40
4,5,15,12,15,21,21,21,29,29,34,37,37,41,41
5,5,5,12,13,19,19,25,25,29,34,37,39,39,39
6,12,12,12,13,19,19,25,25,29,29,37,39,42,42
6,13,13,13,13,19,19,25,25,25,25,37,37,38,42
6,6,6,19,19,19,19,25,25,25,25,38,38,38,42
7,7,7,19,19,19,19,25,25,26,26,38,35,35,42
8,8,8,14,14,14,14,26,26,26,35,35,35,43,43
8,14,14,14,14,22,22,22,22,32,32,32,32,44,44
9,9,16,16,16,16,22,27,27,33,33,32,32,44,44
10,11,17,20,20,16,22,27,30,30,33,32,32,44,44
11,11,17,17,17,16,22,27,31,31,33,32,32,44,44
