1,1,1,1,29,28,28,28,26,26,22,22,21,21,21
2,2,2,1,29,28,27,27,26,25,22,22,20,20,20
2,30,30,29,29,28,27,26,26,25,24,22,23,19,20
2,30,31,32,32,28,27,33,26,25,24,23,23,19,20
2,30,31,31,31,33,33,33,25,25,24,24,24,19,19
3,3,34,34,34,34,51,51,51,52,53,18,18,18,18
3,36,35,35,35,34,51,52,52,52,53,18,17,17,17
3,36,36,36,35,34,51,52,53,53,53,18,17,16,16
4,4,37,40,40,40,50,49,49,49,48,15,15,15,15
4,37,37,38,40,50,50,50,49,48,48,48,15,14,14
4,37,38,38,38,44,44,44,45,46,46,47,47,14,14
5,5,39,39,39,41,44,45,45,45,46,46,47,47,14
6,5,7,39,8,41,41,42,43,43,10,13,13,12,12
6,5,7,7,8,9,41,42,42,42,10,11,13,13,12
6,6,6,7,8,9,9,9,10,10,10,11,11,11,12
