1,1,9,9,9,9,9,17,17,17,17,17,17,17,22
1,1,10,10,10,9,9,18,18,18,18,18,17,17,22
2,1,6,6,12,12,12,18,18,18,18,18,17,17,22
2,1,6,6,12,12,12,12,12,12,18,18,22,22,22
6,6,6,6,13,13,16,16,16,16,18,18,22,22,22
6,6,6,6,13,13,16,16,16,16,18,18,23,23,23
7,7,7,7,13,13,16,16,16,16,18,18,23,23,23
7,7,7,7,13,13,13,13,16,16,19,19,24,24,23
3,3,7,7,13,13,13,13,16,16,19,19,24,24,23
3,3,7,7,14,14,14,14,19,19,19,19,24,24,23
3,3,7,7,14,14,14,14,19,19,19,19,24,24,24
3,3,11,11,14,14,15,15,15,15,15,15,24,24,24
4,4,11,11,14,14,15,15,15,15,15,15,20,20,20
4,8,11,11,11,11,15,15,20,20,20,20,20,20,21
5,8,11,11,11,11,15,15,21,21,21,21,21,21,21
