1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
1,1,1,1,2,2,2,2,2,2,3,3,3,3,3
1,1,1,1,5,5,6,6,6,6,6,9,9,9,9
1,1,1,1,5,5,6,6,6,6,6,9,9,9,9
4,4,5,5,5,5,5,5,6,7,7,9,9,9,9
4,4,5,5,5,5,5,5,6,7,7,9,9,9,9
4,4,4,4,8,8,13,13,13,13,13,10,10,10,10
4,4,4,4,8,8,8,8,8,13,13,10,10,10,10
15,15,14,14,8,8,8,8,8,13,13,10,10,10,10
15,15,14,14,14,14,14,11,11,12,12,10,10,10,10
15,15,14,14,14,14,14,11,11,12,12,10,10,10,10
15,15,15,15,11,11,11,11,11,12,12,12,12,12,12
15,15,15,15,11,11,11,11,11,12,12,12,12,12,12
