1,1,1,1,2,2,3,3,3,3,4,4,5,5,5
1,1,1,1,2,2,3,3,3,3,4,4,5,5,5
6,6,1,1,2,2,2,2,3,3,4,4,4,4,5
6,6,1,1,2,2,2,2,3,3,4,4,4,4,5
6,6,6,6,7,7,7,7,4,4,4,4,4,18,18
6,6,6,6,7,7,7,7,4,4,4,18,18,18,18
9,9,9,8,8,8,7,7,4,4,4,18,18,18,18
9,9,9,8,8,8,7,7,4,4,4,18,18,18,18
9,9,9,9,10,10,7,7,12,12,12,12,12,13,13
9,9,9,9,10,10,10,10,11,12,12,12,12,13,13
14,14,14,14,10,10,11,11,11,12,12,12,12,13,13
14,14,14,14,15,15,15,16,16,17,17,13,13,13,13
14,14,14,14,15,15,15,16,16,17,17,13,13,13,13
14,14,14,15,15,15,16,16,16,17,17,17,17,17,17
14,14,14,15,15,15,16,16,16,17,17,17,17,17,17
