1,1,1,1,16,16,15,15,15,15,14,14,13,13,13
1,1,1,1,16,16,15,15,15,15,14,14,13,13,13
2,2,1,1,16,16,16,16,15,15,14,14,14,14,13
2,2,1,1,16,16,16,16,15,15,14,14,14,14,13
2,2,2,2,17,17,30,28,28,28,28,28,27,12,12
2,2,2,2,17,17,30,30,30,28,27,27,27,12,12
3,3,18,18,18,17,17,17,30,29,25,25,25,11,11
3,3,18,19,19,19,19,19,30,29,26,26,25,11,11
3,3,3,3,20,20,24,24,24,24,24,26,25,10,10
3,3,3,3,20,20,20,20,23,24,24,26,24,10,10
4,4,21,22,20,20,23,23,23,24,24,24,24,10,10
5,4,21,22,22,21,21,8,8,9,9,10,10,10,10
5,4,21,21,21,21,21,8,8,9,9,10,10,10,10
5,5,5,6,7,7,8,8,8,9,9,9,9,9,9
6,6,6,6,7,7,8,8,8,9,9,9,9,9,9
