1,1,1,1,2,2,3,3,3,4,4,5,5,5,5
1,1,1,1,2,2,3,3,3,4,4,5,5,5,5
1,1,1,1,2,2,3,3,4,4,4,5,5,5,5
1,1,1,1,2,2,3,3,4,4,4,5,5,5,5
1,1,1,1,2,2,2,2,4,4,4,5,5,5,5
6,6,6,6,6,7,7,7,8,8,8,9,9,9,9
6,6,6,6,11,11,11,7,8,12,13,9,9,9,9
10,10,10,10,11,11,11,7,8,12,13,9,9,9,9
10,10,10,10,11,11,11,12,12,12,13,14,14,14,14
10,10,10,10,16,16,17,17,13,13,13,14,14,14,14
10,10,10,10,16,16,17,17,17,18,18,18,18,14,14
15,15,15,15,16,16,19,19,17,18,18,20,20,14,14
15,15,15,15,16,16,19,19,17,18,18,20,20,20,20
15,15,15,15,16,16,19,19,17,18,18,20,20,20,20
15,15,15,15,16,16,19,19,17,18,18,18,18,18,20
